"population","temperature","date","mean.daily.temp","ADD"
"ontario",2,2019-11-26,4.532,4.532
"ontario",2,2019-11-27,3.33366666666667,7.86566666666667
"ontario",2,2019-11-28,3.09604166666667,10.9617083333333
"ontario",2,2019-11-29,2.97533333333333,13.9370416666667
"ontario",2,2019-11-30,1.9053237704918,15.8423654371585
"ontario",2,2019-12-01,1.87877453703704,17.7211399741955
"ontario",2,2019-12-02,1.86971111111111,19.5908510853066
"ontario",2,2019-12-03,1.86989861111111,21.4607496964177
"ontario",2,2019-12-04,1.8818837962963,23.342633492714
"ontario",2,2019-12-05,1.88147546296296,25.224108955677
"ontario",2,2019-12-06,1.88264861111111,27.1067575667881
"ontario",2,2019-12-07,1.88161458333333,28.9883721501214
"ontario",2,2019-12-08,1.88602291666667,30.8743950667881
"ontario",2,2019-12-09,1.9593900462963,32.8337851130844
"ontario",2,2019-12-10,1.99054513888889,34.8243302519733
"ontario",2,2019-12-11,1.98774259259259,36.8120728445659
"ontario",2,2019-12-12,2.01076412037037,38.8228369649363
"ontario",2,2019-12-13,2.05167291666667,40.8745098816029
"ontario",2,2019-12-14,2.09396759259259,42.9684774741955
"ontario",2,2019-12-15,2.03200648148148,45.000483955677
"ontario",2,2019-12-16,2.03057546296296,47.0310594186399
"ontario",2,2019-12-17,2.05989583333333,49.0909552519733
"ontario",2,2019-12-18,2.13383171296296,51.2247869649362
"ontario",2,2019-12-19,2.20115347222222,53.4259404371585
"ontario",2,2019-12-20,2.19912893518519,55.6250693723437
"ontario",2,2019-12-21,2.20038287037037,57.825452242714
"ontario",2,2019-12-22,2.21541944444444,60.0408716871585
"ontario",2,2019-12-23,2.25053078703704,62.2914024741955
"ontario",2,2019-12-24,2.22524212962963,64.5166446038251
"ontario",2,2019-12-25,2.2160224537037,66.7326670575288
"ontario",2,2019-12-26,2.21760694444444,68.9502740019733
"ontario",2,2019-12-27,2.26866412037037,71.2189381223437
"ontario",2,2019-12-28,2.25215671296296,73.4710948353066
"ontario",2,2019-12-29,2.24619305555556,75.7172878908622
"ontario",2,2019-12-30,2.26020509259259,77.9774929834548
"ontario",2,2019-12-31,2.26095810185185,80.2384510853066
"ontario",2,2020-01-01,2.23895138888889,82.4774024741955
"ontario",2,2020-01-02,2.20190162037037,84.6793040945659
"ontario",2,2020-01-03,2.16661898148148,86.8459230760474
"ontario",2,2020-01-04,2.1544875,89.0004105760474
"ontario",2,2020-01-05,2.12670694444444,91.1271175204918
"ontario",2,2020-01-06,2.13435902777778,93.2614765482696
"ontario",2,2020-01-07,2.02418958333333,95.2856661316029
"ontario",2,2020-01-08,1.88487731481481,97.1705434464177
"ontario",2,2020-01-09,1.87392662037037,99.0444700667881
"ontario",2,2020-01-10,1.87418055555556,100.918650622344
"ontario",2,2020-01-11,1.91100115740741,102.829651779751
"ontario",2,2020-01-12,1.88714467592593,104.716796455677
"ontario",2,2020-01-13,1.90569074074074,106.622487196418
"ontario",2,2020-01-14,1.9533875,108.575874696418
"ontario",2,2020-01-15,1.96646388888889,110.542338585307
"ontario",2,2020-01-16,1.90550277777778,112.447841363084
"ontario",2,2020-01-17,1.83390023148148,114.281741594566
"ontario",2,2020-01-18,1.83900069444444,116.12074228901
"ontario",2,2020-01-19,1.84370208333333,117.964444372344
"ontario",2,2020-01-20,1.82875300925926,119.793197381603
"ontario",2,2020-01-21,1.84781203703704,121.64100941864
"ontario",2,2020-01-22,1.87165787037037,123.51266728901
"ontario",2,2020-01-23,1.86902037037037,125.381687659381
"ontario",2,2020-01-24,1.86773634259259,127.249424001973
"ontario",2,2020-01-25,1.87933449074074,129.128758492714
"ontario",2,2020-01-26,1.90223472222222,131.030993214936
"ontario",2,2020-01-27,1.91817337962963,132.949166594566
"ontario",2,2020-01-28,1.88919351851852,134.838360113084
"ontario",2,2020-01-29,1.90685532407407,136.745215437158
"ontario",2,2020-01-30,1.97159212962963,138.716807566788
"ontario",2,2020-01-31,1.97955671296296,140.696364279751
"ontario",2,2020-02-01,1.96165856481481,142.658022844566
"ontario",2,2020-02-02,1.95316481481481,144.611187659381
"ontario",2,2020-02-03,1.9954400462963,146.606627705677
"ontario",2,2020-02-04,1.9934287037037,148.600056409381
"ontario",2,2020-02-05,1.92654189814815,150.526598307529
"ontario",2,2020-02-06,1.90085185185185,152.427450159381
"ontario",2,2020-02-07,1.92641898148148,154.353869140862
"ontario",2,2020-02-08,1.92175300925926,156.275622150121
"ontario",2,2020-02-09,1.90490300925926,158.180525159381
"ontario",2,2020-02-10,1.97009513888889,160.15062029827
"ontario",2,2020-02-11,1.99158518518519,162.142205483455
"ontario",2,2020-02-12,1.98870185185185,164.130907335307
"ontario",2,2020-02-13,2.00011087962963,166.131018214936
"ontario",2,2020-02-14,1.9413662037037,168.07238441864
"ontario",2,2020-02-15,1.91594953703704,169.988333955677
"ontario",2,2020-02-16,1.95851990740741,171.946853863084
"ontario",2,2020-02-17,1.93257291666667,173.879426779751
"ontario",2,2020-02-18,1.92505694444444,175.804483724196
"ontario",2,2020-02-19,1.85054884259259,177.655032566788
"ontario",2,2020-02-20,1.85758101851852,179.512613585307
"ontario",2,2020-02-21,1.89622291666667,181.408836501973
"ontario",2,2020-02-22,1.88837592592593,183.297212427899
"ontario",2,2020-02-23,1.92403148148148,185.221243909381
"ontario",2,2020-02-24,1.93330694444444,187.154550853825
"ontario",2,2020-02-25,1.95703634259259,189.111587196418
"ontario",2,2020-02-26,1.93467175925926,191.046258955677
"ontario",2,2020-02-27,1.95886435185185,193.005123307529
"ontario",2,2020-02-28,1.90911319444444,194.914236501973
"ontario",2,2020-02-29,1.93042777777778,196.844664279751
"ontario",2,2020-03-01,1.93819328703704,198.782857566788
"ontario",2,2020-03-02,1.96392615740741,200.746783724195
"ontario",2,2020-03-03,1.99668842592593,202.743472150121
"ontario",2,2020-03-04,2.00358611111111,204.747058261233
"ontario",2,2020-03-05,1.99228657407407,206.739344835307
"ontario",2,2020-03-06,1.97330185185185,208.712646687158
"ontario",2,2020-03-07,1.93174375,210.644390437158
"ontario",2,2020-03-08,1.93300439814815,212.577394835307
"ontario",2,2020-03-09,1.98217291666667,214.559567751973
"ontario",2,2020-03-10,1.98600902777778,216.545576779751
"ontario",2,2020-03-11,1.92563935185185,218.471216131603
"ontario",2,2020-03-12,1.9211162037037,220.392332335307
"ontario",2,2020-03-13,1.94744398148148,222.339776316788
